geoid,geoid20,year,denom_all_households,eli_count,eli_pct,vli_count,vli_pct,li_count,li_pct,mi_count,mi_pct,abmi_count,abmi_pct
1400000US06037910404,6037910404,2018,1105.0,190.0,17.194571,415.0,37.556561,730.0,66.063347,925.0,83.710403,180.0,16.289593
1400000US06037530301,6037530301,2014,595.0,180.0,30.2521,255.0,42.857143,400.0,67.226891,485.0,81.512604,110.0,18.487394
1400000US06037301204,6037301204,2019,2120.0,585.0,27.594339,830.0,39.150944,1210.0,57.07547,1325.0,62.5,795.0,37.5
1400000US06037910601,6037910601,2015,1605.0,695.0,43.302181,1085.0,67.60125,1310.0,81.619934,1425.0,88.785049,180.0,11.214953
1400000US06037551001,6037551001,2019,1283.0,85.0,6.6250973,264.0,20.576773,514.0,40.062355,690.0,53.780201,593.0,46.219799
1400000US06037553802,6037553802,2017,2017.0,681.0,33.763016,1034.0,51.264256,1566.0,77.64006,1685.0,83.539909,333.0,16.509668
1400000US06037550201,6037550201,2016,698.0,60.0,8.5959883,189.0,27.077364,419.0,60.028652,525.0,75.214897,174.0,24.928368
1400000US06037553504,6037553504,2018,1409.0,275.0,19.517387,575.0,40.809086,895.0,63.520226,1105.0,78.424416,305.0,21.646559
1400000US06037201301,6037201301,2018,1097.0,283.0,25.79763,551.0,50.227894,730.0,66.54512,824.0,75.113945,273.0,24.886053
1400000US06037543201,6037543201,2018,910.0,140.0,15.384615,335.0,36.813187,585.0,64.285713,640.0,70.329674,270.0,29.67033
1400000US06037404902,6037404902,2013,902.0,130.0,14.412416,250.0,27.716187,524.0,58.093128,644.0,71.396896,259.0,28.713968
1400000US06037217101,6037217101,2017,1069.0,154.0,14.405987,295.0,27.595884,500.0,46.772686,617.0,57.717491,452.0,42.282509
1400000US06037269907,6037269907,2016,1405.0,265.0,18.86121,430.0,30.604982,740.0,52.669041,895.0,63.701069,510.0,36.298931
1400000US06037108101,6037108101,2016,768.0,15.0,1.953125,54.0,7.03125,113.0,14.713542,143.0,18.619791,625.0,81.380211
1400000US06037208401,6037208401,2018,1460.0,645.0,44.178082,995.0,68.150688,1205.0,82.534248,1315.0,90.068497,145.0,9.9315071
1400000US06037183103,6037183103,2014,1360.0,245.0,18.014706,490.0,36.029411,850.0,62.5,930.0,68.382355,430.0,31.617647
1400000US06037603301,6037603301,2017,1475.0,310.0,21.016949,710.0,48.135593,970.0,65.762711,1070.0,72.542374,405.0,27.457626
1400000US06037433307,6037433307,2013,794.0,152.0,19.143578,299.0,37.657433,456.0,57.430729,559.0,70.403023,235.0,29.596977
1400000US06037601303,6037601303,2018,2090.0,455.0,21.770334,895.0,42.822968,1300.0,62.200958,1535.0,73.444977,555.0,26.555023
1400000US06037186100,6037186100,2019,1860.0,190.0,10.215054,440.0,23.655914,785.0,42.2043,980.0,52.688171,880.0,47.311829
1400000US06037120105,6037120105,2017,880.0,420.0,47.727272,585.0,66.477272,720.0,81.818184,750.0,85.227272,130.0,14.772727
1400000US06037197500,6037197500,2014,1580.0,345.0,21.835443,560.0,35.443039,785.0,49.683544,960.0,60.759495,620.0,39.240505
1400000US06037603500,6037603500,2016,900.0,50.0,5.5555553,185.0,20.555555,400.0,44.444443,505.0,56.111111,395.0,43.888889
1400000US06037119801,6037119801,2016,693.0,91.0,13.131313,187.0,26.984127,332.0,47.907646,445.0,64.213562,247.0,35.642136
1400000US06037106408,6037106408,2018,965.0,185.0,19.170984,390.0,40.414509,640.0,66.321243,745.0,77.202072,220.0,22.797928
1400000US06037620002,6037620002,2018,1455.0,140.0,9.6219931,275.0,18.900343,425.0,29.209621,530.0,36.426117,925.0,63.573883
1400000US06037530400,6037530400,2018,1180.0,295.0,25.0,515.0,43.64407,850.0,72.033897,960.0,81.355934,220.0,18.644068
1400000US06037121802,6037121802,2014,745.0,120.0,16.107382,235.0,31.543625,460.0,61.744965,565.0,75.838928,180.0,24.161074
