geo_id,geo_id2,name,median_household_income,margin_of_error
1400000US06001400100,6001400100,"Census Tract 4001, Alameda County, California",174113,37080
1400000US06001400200,6001400200,"Census Tract 4002, Alameda County, California",141806,12739
1400000US06001400300,6001400300,"Census Tract 4003, Alameda County, California",84598,15779
1400000US06001400400,6001400400,"Census Tract 4004, Alameda County, California",102386,13037
1400000US06001400500,6001400500,"Census Tract 4005, Alameda County, California",76038,4925
1400000US06001400600,6001400600,"Census Tract 4006, Alameda County, California",60804,22129
1400000US06001400700,6001400700,"Census Tract 4007, Alameda County, California",39614,6204
1400000US06001400800,6001400800,"Census Tract 4008, Alameda County, California",59886,5934
1400000US06001400900,6001400900,"Census Tract 4009, Alameda County, California",57003,11564
1400000US06001401000,6001401000,"Census Tract 4010, Alameda County, California",44766,18411
1400000US06001401100,6001401100,"Census Tract 4011, Alameda County, California",59500,9352
1400000US06001401200,6001401200,"Census Tract 4012, Alameda County, California",78203,8179
1400000US06001401300,6001401300,"Census Tract 4013, Alameda County, California",36788,5112
1400000US06001401400,6001401400,"Census Tract 4014, Alameda County, California",28532,5696
1400000US06001401500,6001401500,"Census Tract 4015, Alameda County, California",48490,4382
1400000US06001401600,6001401600,"Census Tract 4016, Alameda County, California",37946,14261
1400000US06001401700,6001401700,"Census Tract 4017, Alameda County, California",72386,26442
1400000US06001401800,6001401800,"Census Tract 4018, Alameda County, California",26806,5077
1400000US06001402200,6001402200,"Census Tract 4022, Alameda County, California",41500,8594
1400000US06001402400,6001402400,"Census Tract 4024, Alameda County, California",29835,7865
1400000US06001402500,6001402500,"Census Tract 4025, Alameda County, California",19042,5859
1400000US06001402600,6001402600,"Census Tract 4026, Alameda County, California",20270,2287
1400000US06001402700,6001402700,"Census Tract 4027, Alameda County, California",40169,20621
1400000US06001402800,6001402800,"Census Tract 4028, Alameda County, California",17278,3058
1400000US06001402900,6001402900,"Census Tract 4029, Alameda County, California",31319,8045
1400000US06001403000,6001403000,"Census Tract 4030, Alameda County, California",17609,2790
1400000US06001403100,6001403100,"Census Tract 4031, Alameda County, California",59250,26444
1400000US06001403300,6001403300,"Census Tract 4033, Alameda County, California",57064,12335
1400000US06001403400,6001403400,"Census Tract 4034, Alameda County, California",42982,5671
