dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,location,cross_street,lat,lon,weapon_used_cd,weapon_desc,crm_cd_2,crm_cd_3,index_right,geoid,distance_meters,year
141121685,2014-12-30T00:00:00.000,2014-05-11,0001,11,Northeast,1152,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0400,35,M,W,101,STREET,IC,Invest Cont,331,HOLLYWOOD                    BL,SUNSET                       BL,34.0994,-118.289,,,,,1893,06037195300,473.3047991846675,2014
180217770,2018-08-24T00:00:00.000,2018-08-24,0155,02,Rampart,0219,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,IC,Invest Cont,510,SUNSET,BEAUDRY,34.0652,-118.2492,,,,,1911,06037197700,432.9891589524979,2018
132108285,2013-04-08T00:00:00.000,2013-03-17,1615,21,Topanga,2102,1,761,BRANDISH WEAPON,0334 1202 1402,64,M,W,101,STREET,AA,Adult Arrest,761,8700    AZUL                         DR,,34.2301,-118.6484,500,UNKNOWN WEAPON/OTHER WEAPON,998,,3863,06037980023,698.6688018217387,2013
161609852,2016-05-25T00:00:00.000,2016-05-17,0800,16,Foothill,1681,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,32,M,H,109,PARK/PLAYGROUND,IC,Invest Cont,740,12400    WICKS                        ST,,34.2272,-118.403,,,,,1549,06037121010,610.6400505352955,2016
141608646,2014-05-11T00:00:00.000,2014-05-10,2200,16,Foothill,1681,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300 0385,38,M,W,101,STREET,IC,Invest Cont,331,8100    WHITSETT                     AV,,34.2208,-118.4053,,,,,1549,06037121010,323.3874429994165,2014
171520349,2017-10-13T00:00:00.000,2017-10-13,0145,15,N Hollywood,1549,2,850,INDECENT EXPOSURE,1202 0529 0913,61,F,B,101,STREET,AO,Adult Other,850,CUMPSTON,KLUMP,34.17,-118.3752,,,,,1595,06037124204,445.74893469886456,2017
171215938,2017-06-10T00:00:00.000,2017-06-10,1300,12,77th Street,1232,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1309 0329,51,M,B,514,GROUP HOME,AA,Adult Arrest,745,3400 W  59TH                         ST,,33.9872,-118.3308,,,,,2215,06037234700,314.6537784884782,2017
170110872,2017-04-08T00:00:00.000,2017-04-08,0200,01,Central,0134,1,310,BURGLARY,0329 2004,44,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,310,300 W  3RD                          ST,,34.051,-118.248,,,,,1978,06037207305,283.6222069792542,2017
191108358,2019-04-01T00:00:00.000,2019-04-01,1400,11,Northeast,1116,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416,38,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,626,5200    SAN RAFAEL                   AV,,34.1132,-118.2037,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1787,06037183510,216.55879148522754,2019
161118200,2016-10-24T00:00:00.000,2016-10-23,1002,11,Northeast,1159,2,624,BATTERY - SIMPLE ASSAULT,2000 1218 0448 0401 2004 1310,40,F,H,101,STREET,IC,Invest Cont,624,4700 N  FIGUEROA                     ST,,34.1002,-118.2038,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1795,06037185101,299.3115951526201,2016
