dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,location,cross_street,lat,lon,weapon_used_cd,weapon_desc,crm_cd_2,crm_cd_3,geoid,distance_to_centroid
141121685,2014-12-30T00:00:00.000,2014-05-11T00:00:00.000,0001,11,Northeast,1152,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0400,35,M,W,101,STREET,IC,Invest Cont,331,HOLLYWOOD                    BL,SUNSET                       BL,34.0994,-118.289,,,,,06037191302,0.004435364246600667
180217770,2018-08-24T00:00:00.000,2018-08-24T00:00:00.000,0155,02,Rampart,0219,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,IC,Invest Cont,510,SUNSET,BEAUDRY,34.0652,-118.2492,,,,,06037197700,0.0042059577981766886
132108285,2013-04-08T00:00:00.000,2013-03-17T00:00:00.000,1615,21,Topanga,2102,1,761,BRANDISH WEAPON,0334 1202 1402,64,M,W,101,STREET,AA,Adult Arrest,761,8700    AZUL                         DR,,34.2301,-118.6484,500,UNKNOWN WEAPON/OTHER WEAPON,998,,06037980023,0.006710748542449202
161609852,2016-05-25T00:00:00.000,2016-05-17T00:00:00.000,0800,16,Foothill,1681,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,32,M,H,109,PARK/PLAYGROUND,IC,Invest Cont,740,12400    WICKS                        ST,,34.2272,-118.403,,,,,06037121010,0.0055327133488057316
141608646,2014-05-11T00:00:00.000,2014-05-10T00:00:00.000,2200,16,Foothill,1681,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300 0385,38,M,W,101,STREET,IC,Invest Cont,331,8100    WHITSETT                     AV,,34.2208,-118.4053,,,,,06037121010,0.003450524163084226
171520349,2017-10-13T00:00:00.000,2017-10-13T00:00:00.000,0145,15,N Hollywood,1549,2,850,INDECENT EXPOSURE,1202 0529 0913,61,F,B,101,STREET,AO,Adult Other,850,CUMPSTON,KLUMP,34.17,-118.3752,,,,,06037124204,0.004030226296377795
171215938,2017-06-10T00:00:00.000,2017-06-10T00:00:00.000,1300,12,77th Street,1232,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1309 0329,51,M,B,514,GROUP HOME,AA,Adult Arrest,745,3400 W  59TH                         ST,,33.9872,-118.3308,,,,,06037234700,0.0034049399407363908
170110872,2017-04-08T00:00:00.000,2017-04-08T00:00:00.000,0200,01,Central,0134,1,310,BURGLARY,0329 2004,44,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,310,300 W  3RD                          ST,,34.051,-118.248,,,,,06037207305,0.002775469870131823
191108358,2019-04-01T00:00:00.000,2019-04-01T00:00:00.000,1400,11,Northeast,1116,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416,38,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,626,5200    SAN RAFAEL                   AV,,34.1132,-118.2037,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037183510,0.0019570337248020677
161118200,2016-10-24T00:00:00.000,2016-10-23T00:00:00.000,1002,11,Northeast,1159,2,624,BATTERY - SIMPLE ASSAULT,2000 1218 0448 0401 2004 1310,40,F,H,101,STREET,IC,Invest Cont,624,4700 N  FIGUEROA                     ST,,34.1002,-118.2038,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037185101,0.0029180700814077647
181611038,2018-06-25T00:00:00.000,2016-01-01T00:00:00.000,1200,16,Foothill,1617,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0601,45,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,668,8400    OSWEGO                       ST,,34.2623,-118.3157,,,,,06037103201,0.006147339099151122
130904801,2013-01-19T00:00:00.000,2013-01-19T00:00:00.000,1730,09,Van Nuys,0905,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0448 0444,49,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,626,14600    SATICOY                      ST,,34.2085,-118.4504,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037127220,0.004816314877583805
171519756,2017-10-02T00:00:00.000,2017-10-01T00:00:00.000,1300,15,N Hollywood,1514,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,27,M,W,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740,6800    LAUREL CANYON                BL,,34.194,-118.3965,,,,,06037123204,0.002410799867260171
160321686,2016-09-22T00:00:00.000,2013-01-01T00:00:00.000,2359,03,Southwest,0336,2,813,CHILD ANNOYING (17YRS & UNDER),1251 1259 0557,13,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,813,2100 W  31ST                         ST,,34.0265,-118.312,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037222001,0.00226887306829243
160817788,2016-10-27T00:00:00.000,2016-10-27T00:00:00.000,0730,08,West LA,0857,1,310,BURGLARY,0344 0358 1602 0352 1221 0321 1402,35,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,1400 S  DOHENY                       DR,,34.0553,-118.3899,,,998,,06037217001,0.003828109846910317
170207686,2017-03-16T00:00:00.000,2017-03-13T00:00:00.000,1000,02,Rampart,0238,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,25,F,H,721,HIGH SCHOOL,IC,Invest Cont,440,1200    COLTON                       ST,,34.062,-118.2545,,,,,06037208001,0.003565529694177813
181412834,2018-05-23T00:00:00.000,2018-05-22T00:00:00.000,1500,14,Pacific,1446,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,20,F,H,101,STREET,IC,Invest Cont,740,CENTURY                      BL,AIRPORT,34.0022,-118.4275,,,,,06037272302,0.0005530171787559464
160204703,2016-01-14T00:00:00.000,2011-10-01T00:00:00.000,0001,02,Rampart,0249,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0344,30,M,O,203,OTHER BUSINESS,IC,Invest Cont,668,1000    WILSHIRE                     BL,,34.0514,-118.2613,,,,,06037209201,0.002157113812471014
191316491,2019-08-09T00:00:00.000,2019-08-09T00:00:00.000,2100,13,Newton,1383,2,623,BATTERY POLICE (SIMPLE),1212 0334 2004,0,M,H,108,PARKING LOT,IC,Invest Cont,436,BROADWAY                     BL,GAGE                         AV,33.9824,-118.2783,500,UNKNOWN WEAPON/OTHER WEAPON,623,,06037239201,0.0033129969815860545
170819570,2017-12-10T00:00:00.000,2017-09-30T00:00:00.000,1200,08,West LA,0829,2,354,THEFT OF IDENTITY,0100 0928 1822 0930,43,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354,10300    WILSHIRE                     BL,,34.068,-118.4254,,,,,06037265702,0.004010249992205192
150121189,2015-09-18T00:00:00.000,2015-09-18T00:00:00.000,0600,01,Central,0157,2,624,BATTERY - SIMPLE ASSAULT,1218 0416 0417,37,F,W,102,SIDEWALK,IC,Invest Cont,624,6TH                          ST,SAN PEDRO                    ST,34.0417,-118.2443,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037206302,0.0016697152451862602
191106994,2019-03-04T00:00:00.000,2019-03-02T00:00:00.000,2100,11,Northeast,1148,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,32,M,W,101,STREET,IC,Invest Cont,740,300    MUSEUM                       DR,,34.1,-118.2072,,,,,06037185101,0.002711223524531136
150718747,2015-12-23T00:00:00.000,2015-12-10T00:00:00.000,0800,07,Wilshire,0759,2,354,THEFT OF IDENTITY,1202 1822 0930,69,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354,1200    3RD                          AV,,34.0498,-118.319,,,,,06037212900,0.0033048826000318973
182021177,2018-11-28T00:00:00.000,2018-11-27T00:00:00.000,1830,20,Olympic,2011,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,IC,Invest Cont,510,200 N  MANHATTAN                    PL,,34.0747,-118.3102,,,,,06037211410,0.0037217764575447716
141611829,2014-07-31T00:00:00.000,2014-07-31T00:00:00.000,1835,16,Foothill,1651,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202,62,F,H,404,DEPARTMENT STORE,IC,Invest Cont,440,9700    LAUREL CANYON                BL,,34.2459,-118.4185,,,,,06037104822,0.0016715337268510975
160818844,2016-11-21T00:00:00.000,2016-11-19T00:00:00.000,2000,08,West LA,0849,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0500 0515,20,F,O,501,SINGLE FAMILY DWELLING,IC,Invest Cont,815,8600 W  PICO                         BL,,34.0583,-118.3799,,,,,06037216401,0.001581215987778461
131218055,2013-07-29T00:00:00.000,2013-07-29T00:00:00.000,1525,12,77th Street,1269,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0417 0419 1813 0416 1243,18,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,626,7900    WADSWORTH                    AV,,33.9675,-118.2586,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037239502,0.004268513792882926
131521345,2013-11-13T00:00:00.000,2013-11-08T00:00:00.000,1753,15,N Hollywood,1548,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0701,53,M,I,210,RESTAURANT/FAST FOOD,IC,Invest Cont,341,5200    LANKERSHIM                   BL,,34.1649,-118.3746,,,,,06037125322,0.002513186224698302
130507581,2013-03-21T00:00:00.000,2013-02-27T00:00:00.000,0800,05,Harbor,0503,2,354,THEFT OF IDENTITY,0922 1822,36,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354,1000 W  253RD                        ST,,33.7947,-118.2928,,,,,06037294410,0.0021079136604658815
190310845,2019-04-15T00:00:00.000,2019-04-12T00:00:00.000,2200,03,Southwest,0315,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,704,ELEMENTARY SCHOOL,IC,Invest Cont,740,2000 W  24TH                         ST,,34.0347,-118.309,,,,,06037221402,0.003948119805679456
180212728,2018-06-03T00:00:00.000,2018-04-02T00:00:00.000,1200,02,Rampart,0269,1,480,BIKE - STOLEN,0344,19,F,W,707,GARAGE/CARPORT,IC,Invest Cont,480,700 S  BIXEL                        ST,,34.0509,-118.2642,,,,,06037209201,0.002224935954137443
130218444,2013-09-03T00:00:00.000,2013-09-02T00:00:00.000,1900,02,Rampart,0249,1,330,BURGLARY FROM VEHICLE,1822 0344 1307 1609 0358,33,M,W,101,STREET,IC,Invest Cont,330,1100    WILSHIRE                     BL,,34.0524,-118.2633,,,,,06037209201,0.00048284573106010544
161324920,2016-12-18T00:00:00.000,2016-12-13T00:00:00.000,0001,13,Newton,1383,1,330,BURGLARY FROM VEHICLE,0344 0358 1601,42,F,H,104,DRIVEWAY,IC,Invest Cont,330,200 E  60TH                         ST,,33.9852,-118.2718,,,,,06037239202,0.0023119448522827867
191713642,2019-08-03T00:00:00.000,2019-08-03T00:00:00.000,0220,17,Devonshire,1779,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1202 0216 1606 0344,63,F,O,104,DRIVEWAY,IC,Invest Cont,420,15600    MARILLA                      ST,,34.2474,-118.4734,,,,,06037117202,0.007850846642244603
150818931,2015-12-19T00:00:00.000,2015-12-19T00:00:00.000,0745,08,West LA,0842,2,624,BATTERY - SIMPLE ASSAULT,0416 0446,67,M,W,108,PARKING LOT,IC,Invest Cont,624,11600    WILSHIRE                     BL,,34.0508,-118.4592,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037264304,0.0032375126254650345
