dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,location,cross_street,lat,lon,weapon_used_cd,weapon_desc,crm_cd_2,crm_cd_3,geoid,distance_meters
141121685,2014-12-30T00:00:00.000,2014-05-11T00:00:00.000,0001,11,Northeast,1152,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0400,35,M,W,101,STREET,IC,Invest Cont,331,HOLLYWOOD                    BL,SUNSET                       BL,34.0994,-118.289,,,,,06037195300,473.3047991846965
180217770,2018-08-24T00:00:00.000,2018-08-24T00:00:00.000,0155,02,Rampart,0219,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,IC,Invest Cont,510,SUNSET,BEAUDRY,34.0652,-118.2492,,,,,06037197700,432.9891589521552
132108285,2013-04-08T00:00:00.000,2013-03-17T00:00:00.000,1615,21,Topanga,2102,1,761,BRANDISH WEAPON,0334 1202 1402,64,M,W,101,STREET,AA,Adult Arrest,761,8700    AZUL                         DR,,34.2301,-118.6484,500,UNKNOWN WEAPON/OTHER WEAPON,998,,06037980023,698.6688018229175
161609852,2016-05-25T00:00:00.000,2016-05-17T00:00:00.000,0800,16,Foothill,1681,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,32,M,H,109,PARK/PLAYGROUND,IC,Invest Cont,740,12400    WICKS                        ST,,34.2272,-118.403,,,,,06037121010,610.6400505371411
141608646,2014-05-11T00:00:00.000,2014-05-10T00:00:00.000,2200,16,Foothill,1681,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300 0385,38,M,W,101,STREET,IC,Invest Cont,331,8100    WHITSETT                     AV,,34.2208,-118.4053,,,,,06037121010,323.38744299909473
171520349,2017-10-13T00:00:00.000,2017-10-13T00:00:00.000,0145,15,N Hollywood,1549,2,850,INDECENT EXPOSURE,1202 0529 0913,61,F,B,101,STREET,AO,Adult Other,850,CUMPSTON,KLUMP,34.17,-118.3752,,,,,06037124204,445.74893469886456
171215938,2017-06-10T00:00:00.000,2017-06-10T00:00:00.000,1300,12,77th Street,1232,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1309 0329,51,M,B,514,GROUP HOME,AA,Adult Arrest,745,3400 W  59TH                         ST,,33.9872,-118.3308,,,,,06037234700,314.65377848852864
170110872,2017-04-08T00:00:00.000,2017-04-08T00:00:00.000,0200,01,Central,0134,1,310,BURGLARY,0329 2004,44,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,310,300 W  3RD                          ST,,34.051,-118.248,,,,,06037207305,283.6222069803325
191108358,2019-04-01T00:00:00.000,2019-04-01T00:00:00.000,1400,11,Northeast,1116,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416,38,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,626,5200    SAN RAFAEL                   AV,,34.1132,-118.2037,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037183510,216.55879148336865
161118200,2016-10-24T00:00:00.000,2016-10-23T00:00:00.000,1002,11,Northeast,1159,2,624,BATTERY - SIMPLE ASSAULT,2000 1218 0448 0401 2004 1310,40,F,H,101,STREET,IC,Invest Cont,624,4700 N  FIGUEROA                     ST,,34.1002,-118.2038,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037185101,299.3115951537212
181611038,2018-06-25T00:00:00.000,2016-01-01T00:00:00.000,1200,16,Foothill,1617,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0601,45,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,668,8400    OSWEGO                       ST,,34.2623,-118.3157,,,,,06037103201,575.3588638184066
130904801,2013-01-19T00:00:00.000,2013-01-19T00:00:00.000,1730,09,Van Nuys,0905,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0448 0444,49,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,626,14600    SATICOY                      ST,,34.2085,-118.4504,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037127220,505.9868566177029
171519756,2017-10-02T00:00:00.000,2017-10-01T00:00:00.000,1300,15,N Hollywood,1514,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,27,M,W,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740,6800    LAUREL CANYON                BL,,34.194,-118.3965,,,,,06037123204,229.26522411412992
160321686,2016-09-22T00:00:00.000,2013-01-01T00:00:00.000,2359,03,Southwest,0336,2,813,CHILD ANNOYING (17YRS & UNDER),1251 1259 0557,13,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,813,2100 W  31ST                         ST,,34.0265,-118.312,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037222001,237.97560413976294
160817788,2016-10-27T00:00:00.000,2016-10-27T00:00:00.000,0730,08,West LA,0857,1,310,BURGLARY,0344 0358 1602 0352 1221 0321 1402,35,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,1400 S  DOHENY                       DR,,34.0553,-118.3899,,,998,,06037217001,388.3874911747183
170207686,2017-03-16T00:00:00.000,2017-03-13T00:00:00.000,1000,02,Rampart,0238,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,25,F,H,721,HIGH SCHOOL,IC,Invest Cont,440,1200    COLTON                       ST,,34.062,-118.2545,,,,,06037208001,348.89013760008265
181412834,2018-05-23T00:00:00.000,2018-05-22T00:00:00.000,1500,14,Pacific,1446,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,20,F,H,101,STREET,IC,Invest Cont,740,CENTURY                      BL,AIRPORT,34.0022,-118.4275,,,,,06037272302,53.03743177345742
160204703,2016-01-14T00:00:00.000,2011-10-01T00:00:00.000,0001,02,Rampart,0249,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0344,30,M,O,203,OTHER BUSINESS,IC,Invest Cont,668,1000    WILSHIRE                     BL,,34.0514,-118.2613,,,,,06037209201,215.9528565099473
